"Etablissement","Code_etablissement","Code_commune","Secteur","Effectif","Taux_reussite","Filiere"
"LYCEE ANDRE HONNORAT (GENERAL ET TECHNO.)","0040003G","4019","PU",9,89,"L"
"LYCEE ALEXANDRA DAVID NEEL","0040027H","4070","PU",46,96,"L"
"LYCEE LE SACRE COEUR","0040034R","4070","PR",2,100,"L"
"ECOLE INTERNATIONALE PACA","0040543U","4112","PU",3,100,"L"
"LYCEE FELIX ESCLANGON","0040010P","4112","PU",54,96,"L"
"LYCEE PAUL ARENE (GENERAL ET TECHNO.)","0040023D","4209","PU",24,79,"L"
"LYCEE EMILE ZOLA","0130001F","13001","PU",35,83,"L"
"LYCEE GEORGES DUBY","0133525L","13001","PU",50,100,"L"
"LYCEE NATIVITE (LA)","0131319N","13001","PR",27,96,"L"
"LYCEE PAUL CEZANNE","0130002G","13001","PU",91,96,"L"
"LYCEE SACRE COEUR (LE)","0131862D","13001","PR",31,100,"L"
"LYCEE STE CATHERINE DE SIENNE","0131320P","13001","PR",7,100,"L"
"LYCEE VAUVENARGUES","0130003H","13001","PU",48,98,"L"
"LYCEE MONTMAJOUR","0130010R","13004","PU",26,92,"L"
"LYCEE PASQUET","0130011S","13004","PU",57,95,"L"
"LYCEE FREDERIC JOLIOT-CURIE","0131549N","13005","PU",57,91,"L"
"LYCEE STE MARIE","0132810J","13005","PR",9,100,"L"
"LYCEE MARIE MADELEINE FOURCADE","0133244F","13041","PU",35,94,"L"
"LYCEE SAINT JEAN DE GARGUIER","0133822J","13042","PR",17,100,"L"
"LYCEE ST LOUIS - STE MARIE","0133314G","13043","PR",22,95,"L"
"LYCEE ARTHUR RIMBAUD","0132495S","13047","PU",43,95,"L"
"LYCEE AUGUSTE ET LOUIS LUMIERE (GENERAL ET TECHNO.)","0131747D","13028","PU",53,96,"L"
"LYCEE MAURICE GENEVOIX","0132410Z","13054","PU",30,97,"L"
"LYCEE SAINT CHARLES","0130039X","13201","PU",53,89,"L"
"LYCEE THIERS","0130040Y","13201","PU",32,97,"L"
"LYCEE VICTOR HUGO","0130043B","13203","PU",26,92,"L"
"LYCEE CHEVREUL BLANCARDE","0131335F","13204","PR",18,100,"L"
"LYCEE ST JOSEPH DE LA MADELEINE","0131339K","13204","PR",17,100,"L"
"LYCEE ST CHARLES CAMAS","0131342N","13205","PR",9,100,"L"
"COURS BASTIDE","0131344R","13206","PR",17,100,"L"
"LYCEE MONTGRAND","0130042A","13206","PU",45,89,"L"
"LYCEE NOTRE DAME DE FRANCE","0131333D","13206","PR",6,100,"L"
"LYCEE NOTRE DAME DE SION","0131341M","13206","PR",17,94,"L"
"LYCEE ST JOSEPH LES MARISTES","0131331B","13206","PR",19,100,"L"
"LYCEE HONORE DAUMIER","0130175V","13208","PU",41,88,"L"
